小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
呤呤英语机器人,0,17717,0%,教育儿童教育,学习工具英语单词速记,snaplingo,2017-01-05,机器人帮孩子学英语？是的！呤呤英语机器人，和小朋友玩单词游戏、练习简单对话，还可以帮小朋友纠正发音哦！足不出户，找到随时和小朋友学英语的好伙伴，快来试试吧！,0.0
小猫存钱,1,17702,100%,金融理财,投资理财金融商业报告汇率换算,inlook99,2017-01-10,个人财务管理小程序，『懒人记账』快速理清个人账务。『备忘录』不担心信用卡、房贷忘还。『神奇道具』，一键看清理财真实面目。,5.0
德州扑克计算器,0,17681,0%,工具计算器,游戏娱乐手游德州扑克,德州扑克跟我学,2017-01-09,德州扑克竞技对战过程中，输入不同阶段的牌面，即可算出当时各自手牌的胜率。,0.0
礼物说,2,17681,80%,购物商城,,礼物说,2017-01-09,礼物说快礼，1 分钟送达的惊喜,4.0
扇贝小字典,1,17676,100%,教育单词字典,英文词典英语,赵余,2016-12-30,一个简洁的英文词典,5.0
帮壹把,0,17669,0%,社交社区,,朱叶,2017-01-09,有事儿就找帮壹把！快速发起一次求助，让万能的朋友圈帮你一把,0.0
e宝贝家纺,0,17596,0%,购物商城,,e宝贝家纺,2016-12-30,e宝贝（ebaby)品牌儿童家纺，提供儿童家居用品，同辣妈潮爸聊孩子的睡眠，品牌家纺保证优质睡眠，e宝贝 爱你每一夜,0.0
蝌蚪课+,0,17478,0%,教育儿童教育,学习工具微课堂学习辅导,蝌蚪课,2017-01-09,蝌蚪课——您手机上的免费音乐课!,0.0
好药师优选,1,17447,100%,健康健康,医疗咨询医生在线就医指导,百慕古杜,2017-01-09,好药师是首批通过国家药监局认证的网上药店。好药师优选是好药师官方认证小程序，帮您放心购药，便捷寻药，特价促销，健康咨询。,5.0
100房贷助手,0,17398,0%,工具计算器,计算工具买房必备房产信息装修顾问,DoubleCai,2017-01-03,"准备贷款，想知道能承受多高的额度，月供多少。
已经贷款，央行宣布利息下/上调xx点，想知道月供会如何变化。
提前还款，想知道能缩短多少期限，节约多少利息。

用100房贷助手，让一切简单！",0.0
腾讯动漫,13,17385,94%,阅读漫画,动漫,腾讯动漫,2017-01-17,腾讯漫画小程序进入主页之后就会有许多热门的腾讯动漫，腾讯动漫小程序进入列表筛选之后就会有诸多推荐榜单，分为人气榜、更新榜、以及月票榜和完结榜，网友们可以根据自身喜好来搜索哦！,4.7
有赞精选,0,17357,0%,社交社区,护肤品3C数码购物攻略生活服务,有赞冷面,2017-01-09,专门帮你发现朋友圈里口碑好货和服务。,0.0
美食天下+,2,17334,100%,社交社区,菜谱提升厨艺美食推荐,美食天下,2017-01-09,海量菜谱与美食社区，教你一步一步做美食,5.0
Miatou,0,17329,0%,图像美化滤镜,美图社交,牧风酱,2016-12-28,Unsplash 精选图片集,0.0
万视达+,0,17263,0%,视频在线视频,,wisetv,2016-12-30,天津电视台的直播广播和王牌节目都可以在这找到,0.0
查号吧手机归属电话区号骗子号码,1,17246,100%,工具查询,,李红燕?,2017-01-11,提供手机归属、电话区号、骗子号码查询等功能。,5.0
航旅纵横UMETRIP,0,17234,0%,出行航班,交通出行火车票酒店飞机票,航旅纵横,2017-01-09,中国民航信息官方打造的权威民航服务，查航班动态，手机选座，轻松搞定，出行必备,0.0
华药商城,0,17210,0%,健康健康,药品医疗器材,华药电商,2017-01-09,药品、医疗器械的互联网第三方信息展示平台,0.0
果粉必备乐乐达,0,17209,0%,生活家装,手机维修新机销售以旧换新二手回收,果粉必备乐乐达,2017-01-12,乐乐达是苹果官方授权的O2O经销商，业务范围覆盖手机维修、新机销售、以旧换新，二手回收等,0.0
蚂蚁微日记,1,17177,100%,办公办公软件,日记,ants,2017-01-03,把世界写进日记,5.0
御膳达人,0,17140,0%,生活美食,菜谱食谱美食推荐健康饮食,御膳达人,2017-02-05,荟萃天下美食，培养御膳达人,0.0
优品股票通,0,17110,0%,金融理财,,张峻峰,2017-01-09,股价预测看未来，策略选股定乾坤。优品股票通，你的股海指南针！,0.0
奇遇旅行FantasTrip,8,17098,100%,旅游攻略,即时预订旅行,奇遇旅行,2017-01-09,"海外吃喝玩乐行专家。致力于深耕目的地，帮助用户搜罗境外旅行目的地好吃、好喝、好玩、好去处，提供私人定制和即时预订服务。

用户反馈：
微信客服号：qiyuxiaomishu；
邮箱：service@fantastrip.cn",5.0
儿歌童话故事,2,17087,90%,阅读听书,有声读物睡前故事性格养成,大大大小说家????,2017-01-10,儿歌童话故事是一款家长必备的育儿神器，通过精选优质教育资讯，以及丰富的儿歌、故事、朗诵音频大全为0~6岁的儿童和父母提供全方位育儿资源。,4.5
就旅行网,2,17083,90%,旅游旅行,交通出行火车票酒店飞机票,jiulvxing,2017-01-09,就旅行官方小程序，提供国内机票、特价机票预订，90后旅行购票预订平台。,4.5
妈妈网孕育,0,17075,0%,母婴育儿,育儿女性健康,妈妈网,2017-01-04,"妈妈的世界，只有妈妈懂！
妈妈网孕育，最懂妈妈的小程序！
 精准的孕育知识经验搜索，定制化的孕期育儿每日知识，丰富好用的孕期育儿工具，帮你做更好的妈妈！",0.0
宝宝微空间,0,17066,0%,图像美化滤镜,生活工具育儿社交,bbspace,2017-01-02,宝宝微空间小程序提供便捷记录和分享宝宝成长的家庭私密空间，以“邀请”的方式实现与亲友一同见证和守护宝宝的成长。,0.0
喜马拉雅lite,5,17053,92%,音乐在线音乐,搞笑段子有声小说新闻资讯广播,喜马拉雅lite,2017-01-17,中国知名音频分享平台，拥有相声段子、音乐广播、有声小说、新闻资讯等海量音频内容，随时随地，听我想听。,4.6
西窗诗词,1,17049,100%,教育学习,学习工具社交,刘志鹏,2016-12-27,"品味唐诗宋词之美。

* 简约排版，干净优雅
* 50万首海量诗词歌赋
* 喜欢的诗，收藏一下
* 来听大家念诗！",5.0
广州妇儿中心+,0,17024,0%,健康健康,医疗咨询医生在线就医指导,人在天涯,2017-01-09,提供患者移动服务与支付，包括导诊挂号、费用支付、报告查看、就诊指引、就医反馈等全流程闭环服务,0.0
美的官方商城,0,17022,0%,购物商城,商城家电生活服务,美的电商,2017-01-03,"小程序美的唯一官方商城；
美的全品类家电，空调、冰箱、洗衣机、电饭煲一应俱全；
专享优惠券，优惠多多，会员福利多多~",0.0
银川吃货每日惠,0,16969,0%,生活美食,餐饮美食推荐,银川吃货每日惠,2017-01-23,专为吃货寻找心中的美食,0.0
华东师范大学校园服务,0,16964,0%,社交社区,,knightliao,2017-01-11,华东师范大学校园服务平台。提供成绩查询、课表查询、考试信息查询、校园卡查询、工资酬金查询、宿舍电量查询、图书借阅查询、讲座查询、通知公告查询等功能。,0.0
知乐邀请函,0,16959,0%,图像美化滤镜,设计社交,Cano_x3,2017-01-09,"知乐邀请函，在微信小程序中制作流行的H5页面。
有官方和设计师提供的模板，可直接选择使用，也可更加用户的需求自行修改和添加页面。
发布后通过小程序的分享功能直接分享给好友。",0.0
美家帮效果图,0,16951,0%,生活家装,房贷计算买房必备房产信息装修顾问,美家帮,2017-01-09,《美家效果图》是美家帮为业主精心打造的一款家装设计软件，让您在海量高清实景图中发现装修之美，探寻设计灵感。,0.0
跨时空,1,16939,100%,旅游攻略,社交最新资讯,跨时空,2017-01-06,"查看旅行日志，发现热门景点。

“跨时空”名字的由来，其实还受近期看的两部电影《Doctor Strange》和《你的名字》启发，开发“跨时空”意在让小程序成为连接你与旅行者之间的结绳——透过图文，能够产生共鸣的地方，才是你真正向往旅行的旅行目的地。。",5.0
名表价格大全,0,16926,0%,工具查询,报价信息查询,Chuck,2017-01-09,名表价格大全是一款查看手表品牌、价格、表款参数的小程序，收录200余个手表品牌，50余项数据参数，以及多地表款报价。我们希望你的每一次“选表”都变得极致便捷，每一次“查价”都表的简单愉悦。,0.0
炉石相册,0,16861,0%,图像美化滤镜,娱乐社交,伟哥,2017-01-05,生成自定义炉石卡牌,0.0
天天跟我买,0,16761,0%,金融理财,商城海淘代购购物攻略,iscca,2017-01-09,天天跟我买，提供海内外好货专业代下单服务，现在就体验省钱、省事、不省品质的购物享受吧！,0.0
全球职场通讯录,0,16684,0%,工具名片,职场大咖社交,taou,2017-01-10,全球职场通讯录是职场小程序，极速找同行牛人、找人才、找合作、找投资，帮你解决职场难题。找人再也不用疯狂跑会，托关系，陌生拜访了，打开微信就可以轻松获取人脉。,0.0
租租车出国去哪玩,0,16671,0%,出行交通,交通出行火车票酒店飞机票,mr.farmer,2017-01-09,“租租车出国去哪玩”是租租车旗下的小程序，它可帮助出国旅行用户，找到合适自己游玩的自驾线路，同时免费办理国际驾照认证件。,0.0
一起Up,0,16645,0%,社交社区,阅读社交,美丽阅读,2016-12-28,"Up是一个由有趣的陌生人组成的流量加速网络。
在这里，信息流动由所有人联合决定，你可以决定别人看什么。
在Up，你可以：
- 制作小卡片，然后传给4个人；
- 收到别人的小卡片，喜欢？Up上去，传给另外4个人，不喜欢？去你的，到此为止；
- 发现好内容，果断加速，获得收益；

Up 认为，内容好不好，应该由用户决定。
Up 认为，发现好内容，甚至比创造好内容更不简单。
It's All ""Up"" To You",0.0
窝牛App,0,16639,0%,图像美化滤镜,,窝牛,2017-01-05,窝牛APP是一款专业的装修指导小程序，甄选全国数万室内设计师原创作品，它能为你提供装修设计灵感，助你布置自己梦想中的家。,0.0
快看漫画mini,0,16639,0%,阅读漫画,漫画动漫杂志,快看漫画,2017-01-12,快看漫画，体验超好的漫画神器。超快的更新上架速度，为你提供超新的精神食粮；超高清的全彩画面，让你体验到绝妙的视觉享受。,0.0
酷竞,0,16619,0%,体育综合,NBA比赛直播查询信息,酷竞体育,2017-01-09,目前第一款NBA数据查询小程序，在这里查询NBA比赛和球员信息。后续还将加入资讯、直播和每日范特西竞猜的功能。,0.0
朋友家精选民宿,0,16606,0%,旅游酒店住宿,生活服务酒店,friendshome,2017-01-03,朋友家是一个精选美宿预订平台，不论旅行还是轰趴聚会，都可以在这里轻松预订到精美的短租民宿客栈公寓。,0.0
领航员投资挑战赛,0,16605,0%,金融创投,,领航员投资挑战赛,2017-01-12,领航员投资挑战赛是上海求真创业投资有限公司推出的一款虚拟投资平台，致力于培养高校专业投资者和理性投资者，树立正确投资观念。,0.0
腾讯NOW直播,11,16557,96%,视频在线视频,直播网红大咖,腾讯NOW直播,2017-01-20,NOW直播是汇聚网红大咖、明星艺人、才艺主播的24小时实时互动直播平台，通过NOW，你会发现QQ好友也在直播，全名直播时代来了！,4.8
土巴兔装修效果图,0,16555,0%,生活家装,买房必备装修顾问装修设计,土巴兔,2017-01-09,"精选海量高清家居装修实景效果图；丰富的家装户型图分类，数十万套实景家居装修效果图案例，随时随地发现家居生活的美好灵感！

数十种类型家居装修效果图琳琅满目，任你收藏...
【风格◆装修设计效果图】简约|现代|中式|欧式|美式|田园|地中海
【房型◆装修设计效果图】小户型|二居|三居|四居|复式|别墅
【局部◆装修设计效果图】背景墙|吊顶|隔断|窗帘|飘窗|榻榻米|橱柜|博古架|阁楼|隐形门
【房间◆装修设计效果图】客厅|卧室|餐厅|厨房|卫生间|阳台|书房|玄关|儿童房
每日更新精选家居装修户型设计效果图，释放你的想象力！百万土巴兔网友交流互动，彻底提升你的居家品味！
◆ 这里的户型设计效果图片每张都被很多人喜欢过；
◆ 她让我们无法停止对美丽生活的向往；
◆ 掌上视觉盛宴，随手发现生活中的美好；

【关注我们】
土巴兔官方： http://www.to8to.com
新浪微博： http://weibo.com/to8to
腾讯微博： http://t.qq.com/ito8to
腾讯空间： http://user.qzone.qq.com/1596974915
公众微信号：土巴兔装修家居
客服电话：4006-900-288

关于装修，一切你想要的，尽在土巴兔~ 
我们还在努力改进，欢迎您提出宝贵的建议，帮助我们持续改善服务，让装修行业变的更加阳光透明。",0.0
跨境医药,0,16554,0%,健康健康,药品医疗仪器医疗咨询,跨境医药,2017-01-19,跨境医药资讯平台：将境外优势医药资源引入中国内地，让普通人也能同享全世界健康科技新成果。,0.0
签到打卡,4,16544,100%,办公办公软件,社交生活服务,朱叶,2017-01-09,为活动发起人提供创建、管理、组织签到打卡活动的工具,5.0
得到社群,0,16525,0%,社交社区,学习知识分享经验交流,刘焱旺,2017-01-09,微信小程序学习社群,0.0
春雨医生+,0,16509,0%,健康健康,医疗咨询医生在线就医指导,春雨医生,2017-01-09,春雨医生是医患之间的实时互动交流平台。用户通过免费提问或付费指定的方式联系医生平台。身体不适问春雨，随时随地看医生。,0.0
58同城生活,1,16504,100%,工具查询,找房子找工作找二手车房产买卖,58同城生活,2017-01-11,58同城为你提供本地生活服务信息，找工作，找房子，找车、买二手买宠物，随时查看即时沟通，都在58同城小程序版。,5.0
博卡名片王,1,16494,80%,工具名片, 智能名片社交,Joe_志文,2017-01-10,轻扫描，快识别，无纸化，博卡名片王,4.0
纹绣名师网,0,16460,0%,母婴美妆,美容技师预约纹眉纹眼线半永久化妆,美容吧,2017-01-08,纹眉绣眉飘眉漂唇纹眼线半永久化妆等美容技师预约。,0.0
换阅空间,0,16451,0%,阅读杂志,阅读学习社交图书,余波,2017-01-04,分享好书，换享阅读，让图书爱上旅行。,0.0
随手记,0,16436,0%,金融理财, 基金投资理财金融保险,罗小二,2017-01-09,随手记账，随手算账，记多人账,0.0
今日汇率,0,16407,0%,工具计算器,投资理财金融商业报告汇率换算,Soup,2017-01-09,【今日汇率】超级方便稳定的汇率查询换算工具，YAHOO金融数据同步，真的很方便,0.0
解忧相知,1,16402,100%,社交社区,疑问解答知识分享,二哼,2017-01-09,在生活中遇到棘手的需要解决问题，可以找附近人帮助 ，发送附近任务，附近人看到可以帮助解决，这个小程序旨在让人们之间的资源达到合理的利用！,5.0
土巴兔家居装修,0,16400,0%,生活家装,房贷计算买房必备房产信息装修顾问,土巴兔,2017-01-09,"土巴兔家居装修是新房,二手房,工装等各类房屋室内设计,装潢装饰效果图,半包全包家庭家居装修首选一站式服务平台,包含装修公司、装修工人的家装平台。   

土巴兔成立于2008年，是面向用户的一站式家装服务平台，目前已开通250个城市分站，累计服务1400万中国家庭。在土巴兔，用户可获得免费验房、免费设计与报价、免费监理、家居电商、品质施工、装修贷款等服务，一站式享受品质家装，让您省钱、省心、省时间。   

打开微信，搜索""土巴兔""即可访问。   
咨询热线：4006-900-288
网址：www.to8to.com",0.0
微光日历,0,16390,0%,工具日历,效率天气定日子万年历,朱叶,2017-01-09,提供精确的万年历、黄历查询功能和贴便签功能,0.0
美柚App,2,16382,90%,母婴经期,生活备忘录女性健康,小柚子,2017-01-06,姨妈来没来，下次几号来，打开美柚小程序，一查便知！精准的经期预测，贴心的经期知识，一款最懂女生的经期管理工具，让你遇见更美的自己。,4.5
汇率换算专业版,0,16312,0%,工具计算器,投资理财金融商业报告汇率换算,新浪财经,2017-01-09,"新浪财经专业出品：支持全球币种的汇率换算，提供主流银行的实时牌价信息，实现各银行间的比价功能，告诉您哪些银行买卖最划算。
使用方法（更新微信至最新版本后）：
1. 点击底部“发现”页签，点击“小程序”，搜索“汇率换算专业版”
2. 使用PC打开此页面，扫描二维码访问（因微信限制，长按识别二维码无效）",0.0
小小票儿,1,16278,100%,社交社区,美图社交,TinyGroup,2017-01-07,小小票儿是一个发现和参与活动的小程序。在这里你可以发现有趣的城市活动，分享给小伙伴，邀请他们参加，还可以扫码购票，二维码签到。,5.0
查地铁,1,16276,100%,出行交通,交通出行火车票酒店飞机票,国家免检好孩子,2017-01-09,免流量查询各大城市地铁线路、出入口、运营时间及周边吃喝玩乐信息，您的地铁生活指南,5.0
指尖快递pro,0,16264,0%,工具查询,快递查询跟踪物流寄快递,王慧永,2017-01-10,"指尖快递是一款快递服务应用，为您提供上百家国内外快递查询、在线寄件的服务。查、收快递 , 实时跟踪物流，快递跃然指尖！",0.0
萌娃相册,4,16256,80%,图像美化滤镜,纪念相册网络相册DIY相册,聚梦畅想,2017-01-09,一分钟极简制作，家庭成员专属，宝宝，萌娃，亲子，父母，记录生活中的每一点感动。,4.0
51趣投,0,16249,0%,金融创投,投票,51趣投,2017-01-12,"高效、专业、稳定的微信投票工具
随时随地发起投票，让选择变得简单。",0.0
富途牛牛股票,0,16167,0%,金融创投,基金投资理财金融股票,富途牛牛股票,2017-01-12,港股A股免费实时行情，极速快捷。,0.0
眉眼唇化妆,0,16139,0%,母婴美妆,,美容吧,2017-01-09,预约纹绣名师，绣眉，漂唇，纹眼线，半永久化妆，雾眉，嘟嘟唇等项目。,0.0
朋友相册 App,0,16095,0%,图像美化滤镜,,Hugh,2017-01-09,"还在用qq相册？该长大了
朋友相册，和朋友一起传照片。",0.0
医生工具箱,0,16040,0%,健康健康,医学资讯查询药品,seven,2017-01-09,医生工具箱一款专门为医生量身打造的小程序，他能让您在微信里，轻松查看临床指南，浏览医学资讯，翻译医学词汇，检索专业文献，查询药品，分析化验单，完成医学计算，从而帮助您在科研及临床中，极大的提升工作效率,0.0
每日优鲜,2,16024,100%,购物商城,新鲜果蔬海鲜肉禽酒水饮品进口零食,nie~,2017-01-10,全球精选生鲜，2小时速达！新鲜果蔬、海鲜肉禽、酒水饮品、进口零食、营养牛奶，我们采取全程冷链+严格品控，只为您新鲜到家！,5.0
全球汇率换算,0,15971,0%,工具计算器,汇率换算投资理财金融,全球汇率换算,2017-01-12,支持数十个国家和地区的货币，支持汇率自动更新，是出国旅游、海淘、货币兑换的必备神器。,0.0
数码比价助手,0,15967,0%,阅读资讯,3C数码商城购物攻略生活服务,太平洋电脑网,2017-01-09,PConline太平洋电脑网出品，提供数码产品和家居电器的信息查询，价格、参数搜一搜马上知。,0.0
Qdaily,2,15963,90%,阅读资讯,新闻资讯视频,好奇心日报,2017-01-06,颜值最高的新闻小程序，目前微信只支持“二维码扫一扫”或“小程序搜索 Qdaily”，不能直接“识别图中二维码”。,4.5
春秋航空特价机票,1,15956,100%,出行航班,交通出行火车票酒店飞机票,春秋航空,2017-01-05,"春秋航空特价机票官方购票小程序，价格品质保证，实时出票，1元起机票让你玩到爽。

打开微信【发现】-【小程序】-搜索【春秋航空特价机票】体验",5.0
驴妈妈门票预订,0,15870,0%,生活票务,门票预订自助游景区门票旅游,驴妈妈门票预订,2017-01-12,驴妈妈旅游网创立于2008年，是中国知名综合性旅游网站、自助游领军品牌、中国景区门票在线预订模式的开创者，提供景区门票、度假酒店、周边游、国内游、出境游、大交通、商旅定制游等预订服务。在景区门票、周边游、邮轮等品类处于行业领先地位。2015年驴妈妈成功在中国的在线周边自助游市场夺魁，市场份额达高到 30.7%。 在5A、4A景区市场份额中，驴妈妈以23.8%、24%的占有率位居行业第一。,0.0
小狐仙日历,0,15860,0%,工具日历,效率天气定日子万年历,HappyTER,2017-01-08,小狐仙万年历,0.0
蚂蚁天气预报,0,15844,0%,工具天气,效率生活,ants,2017-01-03,最简洁精准的天气预报、空气质量,0.0
万年历择吉,0,15833,0%,工具日历, 效率天气定日子万年历,万年历择吉,2017-01-13,万年历择吉为您提供祈福、纳财、嫁娶等吉日查询服务。以及每日宜忌、诸神方位灯信息，并编制出了具有特色的通胜模式日历，以便查看。,0.0
万年历日历,0,15827,0%,工具日历,效率天气信息查询万年历,万年历日历,2017-01-12,万年历官方出品，适合中国人的万年历小程序，集日历、农历、节日节气、放假安排等功能于一身。最便捷的生活助手。,0.0
翻译e,1,15824,100%,工具查询,学习工具英语单词速记在线翻译,邓仔,2017-01-06,多国语言在线翻译，中英、中日、中俄、中法快速翻译，专业翻译,5.0
小小房贷计算器,0,15801,0%,工具计算器,计算工具买房必备房产信息装修顾问,TmT团队@腾讯微信,2017-01-08,"一款计算房屋贷款的小工具，让房贷计算一目了然。
支持：商业贷款、公积金贷款、组合贷款等，更有相关攻略等你来。",0.0
芒果FUN,12,15705,94%,音乐在线音乐,娱乐游戏互动电视节目,白牙,2017-01-09,芒果FUN是湖南卫视旗下，芒果互娱开发和运营的一款以湖南卫视节目IP为主的游戏、互动娱乐移动端产品。,4.7
硬老师,1,15676,20%,健康运动,健身私教健身训练课程运动瘦身,硬老师,2017-01-24,硬老师是你随身携带的健身私教，专注于为你打造更科学的健身训练课程，为你示范更靠谱的硬派健身大法。,1.0
足球魔方社区,3,15637,94%,体育足球,足球体育,魔方元科技,2017-01-09,足球魔方系魔方元倾力打造的中国最大的赛前大数据决策平台，使用独创的DeepCube人工智能算法，结合比赛基本面、球队技战术大数据、前方情报等多维度分析，提供前所未有的可视化信息和用户体验。,4.7
火车票预订查询,0,15636,0%,出行交通,交通出行火车票,火车票预订查询,2017-01-12,"艺龙旅行网为消费者提供全球200多个国家75万家酒店住宿及机票、火车票等预定服务；是中国在线和移动住宿服务提供商,致力于打造专注专业、物超所值、智能便捷的住宿预订平台,通过艺龙客户端、PC网站、24小时预订热线（4009-333-333）",0.0
户外活动助手,0,15588,0%,旅游攻略,旅游线路旅游攻略社交户外活动,户外活动助手,2017-01-19,户外活动助手8264活动平台的微信小程序版本。是国内首推专注于户外的线路平台，涵盖国内外户外旅游线路，为用户提供专业的报名咨询服务。,0.0
健身之家网,0,15582,0%,健康运动,美食健身社交,健身之家网,2017-01-17,健身之家是一个健身朋友互动交流的健身类平台，这里有完备的肌肉网络体系、专业的健身计划、详细的增肌减脂教程,0.0
藏识相册,0,15538,0%,图像美化滤镜,美图社交,RR,2017-01-08,本应用是一个玉石文玩类的图片应用，用户可以记录并分类自己珍藏的物品，也可以鉴赏他人珍藏的物品。,0.0
月记Lite,0,15498,0%,母婴经期,经期管理避孕备孕神器,itisalex,2017-01-09,大姨妈月经期管理软件，避孕备孕神器，女生必备。独创的经期小日历、独创的经期对比日历。,0.0
王者早知道,0,15465,0%,阅读资讯,王者荣耀腾讯游戏娱乐手游,TmT团队@腾讯微信,2017-01-09,「王者荣耀」新鲜资讯不错过，精彩内容早知道。版本强势划重点；体验服英雄提前看；高清壁纸任性换。,0.0
腾讯体育+,5,15421,84%,体育综合,视频体育新闻赛事直播,腾讯体育+,2017-01-17,腾讯体育小程序二维码可以直接让网友们扫码进入腾讯体育在下直播间，腾讯体育小程序再也不需要开启腾讯体育app就能够直接在手机上通过腾讯体育小程序观看BNA等体育赛事的实况直播咯！腾讯体育小程序还有相关体育新闻观看。,4.2
邑小助,0,15408,0%,社交社区,,会玩网络,2017-01-09,五邑大学兼职信息查询及发布平台，提供五邑大学各种生活所需功能，包括查询电费、校内常用电话等,0.0
贝塔基金宝,0,15408,0%,金融理财,基金投资理财金融保险,513868087,2017-01-09,协助投资人可视化展示各类金融产品（基金、私募、集合计划、保险、理财、投资人物等）、科学分析客户持仓资产和配置，让我们的投资有据可查,0.0
朝夕日历Pro,0,15406,0%,工具日历,日历生活服务效率,小朝,2016-12-30,朝夕日历—智能的时间助理；长按添加按钮可以语音添加日程；提供列表视图；帮助您简简单单地安排时间，发现生活~,0.0
彩票速查,4,15439,96%,工具查询,彩票工具查询,彩票速查,2017-04-28,提供福彩、足彩、时时彩开奖结果查询,4.8
健康家居4+,3,15398,94%,购物商城,商城家居生活服务健康家具,健康家居4+,2017-01-17,专营自主原创设计的健康家具和健康机能产品，推广健康家居生活。,4.7
第三视觉互动,0,15320,0%,阅读资讯,设计开发社交,岗伯伯,2017-01-09,第三视觉公司介绍，业务范围，联系方式等。,0.0
书法字帖大全,1,15305,100%,工具查询,学习工具学习辅导书法,方方,2017-01-09,历代名家书法碑帖大全，练字临帖必备！,5.0
算车价,0,15298,0%,生活汽车,购车资讯汽车报价购车,玩车教授,2017-01-10,"2017年最新的购车计算器,方便购车者计算购车时所产生的各种税费(购置税、上牌费用、车船使用税等)以及商业保险。",0.0
实时空气质量,0,15296,0%,生活,生活服务效率,乡居网,2017-01-09,提供全国各地实时空气质量，包含PM2.5、PM10、一氧化碳CO、二氧化氮NO2、臭氧O3、二氧化硫SO2，帮你避免空气污染带来的损害。,0.0
中港车之家,6,15266,100%,旅游旅行,中港车,港澳城旅游(深圳)有限公司,2017-04-07,港旅城，专注香港邮轮，中港车，一站式VIP服务,5.0
健康吃啥,1,15232,100%,生活美食,菜谱提升厨艺美食推荐,健康吃啥,2017-01-13,个性化推荐当令食物。根据身体状况，包含体质，慢性病，小症状，结合不同节气的智能推荐系统。,5.0
经期月月记,0,15201,0%,母婴经期,女性健康生活服务,张怡,2017-01-09,科学预测你的经期，从此告别大姨妈随时探访的尴尬。来月经，就用月月记~（产品截图部分是我们未来版本的预告图~敬请期待哦~）,0.0
碧桂园凤凰国际酒店,0,15197,0%,旅游酒店住宿,酒店服务,懒人,2017-01-09,"碧桂园凤凰国际酒店涵盖商务、滨海、温泉、高尔夫、山水与草原等六大主题酒店。
酒店直营，你懂的~",0.0
车来了精准的实时公交,12,15150,92%,出行交通,,knightliao,2017-01-11,精准的实时公交APP,4.6
秀赞问卷,0,15145,0%,社交社区,投票问卷调查,范范,2017-01-10,快速制作的调查、投票、问卷等活动！海量免费模板等你挑选，让制作更轻松，让页面更精美！,0.0
小易测速,1,15126,100%,办公办公软件,网速测试,翼帆网络,2017-01-09,小易测速是一款简单易用的测速工具，网速测试、4G、Wifi网络测速，结果快速准确。,5.0
十点读书程序,1,15079,100%,阅读资讯,,wolfme,2017-01-09,深夜十点，陪你读书，一种美好的生活方式。分享好书/故事/电台/美学。,5.0
小鱼收纳+,0,15076,0%,工具查询,物品整理收纳记录工具,小鱼收纳,2017-01-12,轻便的物品整理，收纳，记录工具,0.0
We重邮,0,15033,0%,社交社区,教育信息查询轻松办公,We重邮,2017-01-13,校园微移动门户，为全校师生提供便捷服务。校内头条、教务公告、OA公告、会议通知、学术讲座、综合新闻等，随时随地即能了解校园动态，还能预览与下载附件，掌上办公，指日可待。,0.0
叮叮出行,0,15029,0%,出行交通,交通出行,安德卤猪,2017-01-09,校园版嘀嘀打车,0.0
小布包,0,15019,0%,办公办公软件,轻松办公信息分享信息查询,小布包,2017-01-09,小布包是一个云端文件分享的小工具，有助于提高团队协作效率。小布包基于文件集合来自由地组织联系人/群组，轻松和安全地分享文件集合。,0.0
91影像助手,0,15004,0%,工具查询,医疗咨询医学知识医学影像查询,susan,2017-01-09,"「91影像助手」是一款医学影像查询工具，搭建了一个医学影像信息数据库，用户可以通过点击分类菜单栏、输入关键词搜索查询医学影像的相关内容。「91影像助手」隶属于杭州至临医疗科技有限公司（以下简称”至临医疗科技”），主要为医生群体提供系统化、便捷化的医学影像信息查询服务。
医生在工作和学习中遇到需要查询资料的情况时，可以通过检索「91影像助手」来获取相关信息。",0.0
篱笆闲聊,0,14967,0%,社交社区,搞笑段子媒体广告趣味阅读趣味聊天,甜菜冬瓜,2017-01-09,篱笆闲聊  - 伴你经历人生中的每个重要时刻！年轻家庭，生活消费社区。,0.0
汽车之家Autohome,0,14944,0%,生活汽车,汽车资讯汽车报价,Joe_志文,2017-01-10,帮您迅速筛选热门车型，上市新车，一手汽车资讯--汽车之家，,0.0
背宝,0,14926,0%,教育单词字典,学习工具英语单词速记,liro,2017-01-09,随时随地背几个单词、背几处知识点，帮助您在不知不觉中提高成绩、增长学识。,0.0
微店买买,0,14895,0%,购物商城,,Henson,2017-01-09,微店买买小程序，帮助用户管理自己的订单与收藏，与熟悉的商家保持联系，在微店交易更加方便安全。,0.0
启信宝商业搜索,0,14861,0%,金融创投,信息查询商业搜索,启信宝,2017-01-10,启信宝是一款快速精准的企业信息查询工具，为各界人士提供丰富详尽的企业信息检索，尤其能帮助金融从业者、律师、投资人、媒体记者、销售与管理等专业、商务人士提供全面、客观、权威的工商、投资、司法拍卖、资质、许可、处罚等企业信息，是各界商务人士必备的企业征信利器。,0.0
教师证题库大全,4,14845,100%,教育学习,教师资格证小程序小学教师资格证书幼儿园教师资格证书中学教师资格证书,ringo,2017-02-05,考过鸟同步官方最新教师考试改革大纲，涵盖幼儿园、小学、中学资格证全部题库。科学系统学习，让你轻松拿证就业。,5.0
